gatewayAddress,delegateAddress,delegateStake
yRUte56wdPGHafW36HVYLsbhpggbGECPA60iZp-lsrk,1khPwka7wHJHFzWGbD7FPX_afqFzTL3igjqwuxV040s,435000000
7FpLr1VK12PcR9qM_3JpUQxbZckNwVXiaJkIYFGBT4o,1lDNXQ3JHrWgdC3GY8xwIutfPZqBIXYBo3JehkyHgwg,1303750000
kCflZhsNDofALNadbPsknhVyl424OF0quSZxrBY9Muo,1lRQ78P1ZeLX9ehUNU3k-NsU1SgjWR6o1PEI9KsWEO8,2390000000
J2AARe8Jzi2ttgjDWAtHLXgdd93psesyRUuvg-LN2tg,1lpQMLnA5_Ffe9cT11GFCAbX_gnfM8GwQQ7tTTG4KzU,435000000
P6fwzHwY75NIUMIeNNaNIA_T2KeI2UEy2yaLriv81LY,1nMY2xH71m55ZGmdXBEsGwUxQ6S_8KTez8iR20lQW1o,2172500000
bX1vTwLZ9syc3S7ynNovsy-1-3Ko66Vc7hGSa-SNU0U,1o7w_zSGxvQ03XDJK6ILvpqU2RZ8XMAKJ4akzZC-dX4,435000000
Jw-8FZNff6w2ijZihHat48DCyLgtA2up_V6frPX_NL4,1oC15oZhVzEeQWmI4nv0o4S4rXmjsletBN0xwpIt4-0,478750000
vBDC_yCsXY9KrM4nFy_ngR2aN75F85650lJZnWH5tEU,1rDuesTv47y0RxaxpiFBHiMqguw1DcqTeUpqB9bgxiM,435000000
pqJmLkaXWjgSgsTB2_l5slTdRrx7lgzq1XTc4LRV0l4,1uADOG-c_JWsI8UFiKwaIrROJ0duhDBf7JG0QXmWbsE,2172500000
tVUJkW50adLrdfpL_qlgH4oo_4Hzsr-gTykWo-WfugU,1uv0R8hxoOe3UqGziqfcDljpd668YHGZnN6rC_NWmkU,435000000
a-s4o4rNJzG_Wcwg0cVRsOYIVkXmGyIgc7NzMyr1H70,1wJprdMCfbmsAce-1HOdaTXnmVzucys_QfGQJXhhUX8,630000000
Mm_owPYAjpqu0FgrhsRtKGwEPr8kQCELd52VI-px3dk,1wOiUbtuiUc-MijUb46V4ClX9tpQ3_ffpj6zyMZiKbM,652500000
aTNB1r_V0HC0m8lEkGiTmvxRjp4q59QIUzizdwB7Nik,2-8QhpBirLp-7oXb3xvinfCpYtDHLSc8udhvSxgKBgw,435000000
