delegateAddress,gatewayAddress,delegateStake
0phxy0U5AKXKzs2pwNebXnekQz2uI-mPK0yJ5FugJ9E,SqEQ2UZcI6s4yU8jQMnmxSBmu1XYBg_eHoivzxYljU0,9776250000
0pqoXVX9_ALMRDm4CBqrWyuKUIgPgaACHgzhn6UNR-M,pY1nE1lnn8L_OUKgQnv8H7EvWwCE6AUYtGuTng6l_TI,652500000
0q2hdWMdhFWkIZ5ZwSoRkcFT2RnQ9MTGyqVnRlHiQ_A,JiXiLwTXFXP0hdfL3gyIV960D4sTC1Bk_KUO1P1-jv4,435000000
0qelMsFB5JWu1J1zvVYG-d-IDWXLHP-5KDntlv8zBEY,KsHdxewU2qgzXbjT7dqRbpnKEuRuuP5NcbSSw7n9zB4,870000000
0rXN_48CVytyYNhO5B50UWt-wRBo7UJ0aT54l4KjJI0,BFHYPcc5DmqQMp8OsdiMK_AFy7eNBVnUwNbQHs8e_Pk,435000000
0s7ZevTwk4vILZCs-ClQlsb1nchVisF_I9UfGNnuPX4,mhJeINFvcvoqV7H6AO7I0-jbLhcj4pBUPizJ03sYWts,652500000
0td0ae46B-GOfhwKDAExGX4RCi2YX4NVfYQjLXBUuEg,Wonn3S1gh2YViGk8UCrA2wqD4qcv8Od2llFLUuPpFLc,2390000000
0vwZudBfB--VRfXo4qC_9ejmb2Kf-frBJGBjCFyx4_I,JVTzls8_vGow74rbTILPmFqIYIgvTR67MhwXqHdBBk0,435000000
0x02f40b84CdDe657245049476E1E01DDffde6a21c,pqJmLkaXWjgSgsTB2_l5slTdRrx7lgzq1XTc4LRV0l4,435000000
0x3489d4eC0504970aEfBc446689145e79e74E7b9b,3RD-ifJlte3mXlRU9ZpoUGM6EAii1EQlavBrJ79jEeU,1738750000
0x788054EB457f57E8cd796Da666bf5B4235Be840A,s4JPHqCNvdVspEYm_BGd8SIRzVvsj9e4bMFcSnnRG5Q,652500000
0xC8F729B4AFCbf8Cb1f2F969511c684925Bc1034B,L3E3GUG2jN4Lpp64w45e7JWGKxY4dZ3GHSNWdL5ElxI,435000000
0ybryz-ScLU4MQhF5kr_FW25O_ZAcOHhFCE08USf9es,oMPYwABoGMcrvLAy1r41ilZD5totu7TGm6JuCkW7bL8,2281250000
1-NtLpFIAWlBtzpgA1LdO50lrZgacG3vVAxM_6Zekxc,ciQ7RQ8QPPv3bGoMfN2SlYIr0n8ZDLZ7_aDW-hM9pLQ,652500000
10efWZ1qQLPv0_y-gg0ldeGy68eH_wTQhN6bG3vzc7c,TlZUBXVaCY5mvVX4IUjFR3FcMhkmnTAWikzuWlAc5_M,1303750000
10fhiZ1WtTQ8ubPXqHRSDbsBS-BgEH8Qx1yyR1VNT9Q,pi_PVyBCifSZfwKG1v2BZs3xOL9nVitgw9VK6b7HmJw,150000000000
14OztRg1Lg73yZvvrCyf7rzfTlvlGnv67XYb0-P6Llc,-qFD1MII0PtppZqaeqqniDS8taYZp9Kw84amFDHAB-Q,1086250000
16BFrLT0uMUq-RWhzcn-uWd2vA4F5qxlYh_fahh1GBM,ty5YtynhdixPERscueTiOl1KA4Y69HNrAaJ2H_2sBh8,652500000
17D8iiRNAntWmzR2q0VS8JlBzUfzD1buxkKHwPNpqTs,E_hgifj1VUdbYb81YwlMBluQjYV_vJZGvGvdPQG64z4,1500000000
18e5Zt-JaV5eE24alZnMI4ka9PWaNu0iZvnk7Sx1FSw,sgwcpaMBBy1St_I-sczkueEREOuDTt74JAOBE4mHFCw,1956250000
191b7usGVhRCLrS1bLposPs2clq13XiMfIrKXWV-C-8,JVTzls8_vGow74rbTILPmFqIYIgvTR67MhwXqHdBBk0,1086250000
19v0v3G7OGODr4sl8Wd4AuW7_LYHPNm6WqwIrxo-LRI,7DYE7_AtHBW9T98vUuZVkL6mW_ZX8t_GiIGR88Vi25I,870000000
1AcBTSDviZjIh6gMV26FxuvwKXZRt9jFidm9TTNJcTw,llpFQs81WBNqU5q7PDUnkkyzgMXtCOcqyL1nTvjKngc,738750000
1BLKMBr4zljxop_YB02FNfRw0UrtLGx_gY6EapQhAj8,WD2M7uCkX_5wrgR1FntjAkU1iyZQ5ssIhAfeosPhmFw,435000000
1BMzNcnblNUJGXMU3uhdlQZ0ymdxc6OOuQ3kZyFyfok,99cN-yl_Ytpn-_vOOZrF39O3YST9Qe5OP9SZHP_JN7Y,543750000
1BUFCfUPHKNgCdWFYXN0HxKWXGlSBO0APKuRdVP3gp0,l5wmMZJv6cXuJxlvjf6RkErudcWQfosBc7b5Gx7gCsU,1217500000
1Cp9R-wlsaV4QLtE58YrKA16TCkqbDXOlk8OWVT9S5g,uAsYw8-vGL6zgyDfImyW2MkiqI8IV2FteK_Fzz-JGWk,435000000
1Ddun6n6igF6J5CqQ589zMiTdycAFiZGoBL-Pl3xUaA,8y0mX32e2Y_GmGcS59KF4cOmMQZeIu5pSDJ07a7RcbU,652500000
1DkiG-bX-EnXBHtIYnBPLHXLLUQtTZiw9qgMgRrnahA,IfRB126OA-VgcriyUZggYY1_X4xVQfSFcit_jH-7GP0,21320000000
1EX_QWs0LWH86FtslsspZX7RLWZpzk_xHjJwJSHTiCI,PE0gBR0wwHlNA4k4He0K3iYc-EKPqjgm7dG65T9pNiw,1738750000
1FyonaX7Qpkyrx8Jp_-YqWbKZI5kLW-vcpHNls1ZM1Q,iap-k1HQNUtkDLDooVsjQVg0FAWtudGtVsTSFQ3nn1o,435000000
1G8qI1OZRnJOJg1GsOoKqtE2mKh7dpSDL8WCBqriltk,1DkiG-bX-EnXBHtIYnBPLHXLLUQtTZiw9qgMgRrnahA,3911250000
1GRKSKvsHj-9XPzb-CejeCIAQ511Xz97QgX598sB9FY,KsHdxewU2qgzXbjT7dqRbpnKEuRuuP5NcbSSw7n9zB4,15858750000
1GvFHfBzK70EJXdr6_DAqPWBkEXUAQPVNWWlicczypg,h0YJJPy3KbX368O7OzF5VgNPUYK6gYnjBDVSjxXa56U,435000000
1JXtBsZ8wP-4lIGpyALpUTxBAO3L1sZor-_k2iJGpZg,BFHYPcc5DmqQMp8OsdiMK_AFy7eNBVnUwNbQHs8e_Pk,6496250000
1Larrp09w5Ud7hLr6OmkhxhJIn56wZwABhd2g4znFvE,0RWuHL1469WYh146-x-5IKtes0WQweqv8d9OehyxFKw,2390000000
1O4D8j3sFE27wIY13XZmJIQlkMSE2NakLzb9fJ53W6s,3dTBoAtr9RA0DhNihHvcbInbsMO9nKscXyXarQ82uEM,435000000
1QbNq9PiJSfJy7m9ReDR8JEIAmVLK_mIk65BI1PsIHk,9Rya3y64lWHKAbbFYmSo_Fw1rKlagKOWoZ2Qvl1ENrQ,2672500000
1Rh5Y0430bpGLWqdfKnNbHKIvpgq1EaJBWGWg2c1Ewc,KsHdxewU2qgzXbjT7dqRbpnKEuRuuP5NcbSSw7n9zB4,2825000000
1SoivONY8YIdwq1QLHPzGk45X6hNFVRRPiNPcTr-XqI,lYYl7-mGPli0bKFKdzEZdmkDswcvMSskG5bjRV5nq_Y,435000000
1W1QS1Fe2lEl5mW-SctEU-nUeEdwPmmSqXBVB7Tp8U4,FJYmjg6e3_cZrJO6aUu0PPXfz51-ItpYHer9qIcdrBw,1303750000
1XUp3uOFY4le6ynprqAruVCEs7Dpwgemhzby0VRHkhI,AKnCN9K5bDyAKDdxnVBVVI5tz8ziI4KTPd5N8uN1gio,435000000
1YVaCaR-ghA4LFc9MARIyZNqaAJSB_sW7b0JxTdV55E,Ie2wEEUDKoU26c7IuckHNn3vMFdNQnMvfPBrFzAb3NA,1521250000
1ZI6x_rrE4_SOGyrFZToPzneubJyrX5onB4OWjX5etY,FJYmjg6e3_cZrJO6aUu0PPXfz51-ItpYHer9qIcdrBw,1303750000
1ZiDC5ns-nvuSEclFxkOwZKDC-Ye2vqQHIG2Lq9qdYE,h87HVSyMj3jab9GwOYQd2ZYVARcF5EJTUuXHybD_E3E,652500000
1_xRr6lljffPfLgaGShavvjmrw5HEfdIe_5yB6HH75Q,tsfe-wxLH9Pj3FOdSrw9vgvmlRzNigl8TvxJuB7IZ9U,3911250000
1aDE2dU1-nzsntWJNKh-8jCPhoqQqh3I7ILPpzhekDE,W-is11Lhz1V666jC8xkmxZxTRdFnSzkbvHc1NNsM878,435000000
1bCwZvmtn60n2KyK_qKUxyXK6J7XzACNIhmgiQtRvs4,h0YJJPy3KbX368O7OzF5VgNPUYK6gYnjBDVSjxXa56U,3042500000
1e3XWmCfrMgPvPt_di6LD9f3kbLaWdM05raJ2IqrQPo,0RWuHL1469WYh146-x-5IKtes0WQweqv8d9OehyxFKw,1716250000
1gNb6mBKqGEJx2aOSvTGUOMoHZh9YzrS-ffaqyr-xLg,TMXcVEAvy2e7cFwd0qMMsoYSjVPYRuNFHj-yxC45Hy0,2390000000
1gd5fUVEcCqhDibQv8JKJ9Q9qZReLcJbvh03c17ZzZ0,pY1nE1lnn8L_OUKgQnv8H7EvWwCE6AUYtGuTng6l_TI,4080000000
1hIF4NbWh3jtQxkVsOilEG5xxzNJq5Gp8Co6O-VTUVA,fD5A1ki_bDGt-FjVvOPHPZ1ylDAQo4zCp9LIOD9VCWk,435000000
1hLYi1240dZ7WS39I_NNjVQv5ntI8iJhghvNhkQo6DE,0RWuHL1469WYh146-x-5IKtes0WQweqv8d9OehyxFKw,652500000
1jxg_ezDhi0NKAKDyz6VqyWaNpnruXItqTss8p5Lffc,qhjZBMNa8EDTb8WaZwJ9vwVgiFbX9VmVmd7S7x80-BI,2172500000
1khPwka7wHJHFzWGbD7FPX_afqFzTL3igjqwuxV040s,YlprxxUDtRCP2Ewfn5qEOQ0j1w_qLc9R6V6TnZ9HNSU,435000000
1lDNXQ3JHrWgdC3GY8xwIutfPZqBIXYBo3JehkyHgwg,BAQYHfwzlL5Fd1w8-fr2Iu0DMUzbgjwV-EM9fTP1Oeg,1303750000
1lRQ78P1ZeLX9ehUNU3k-NsU1SgjWR6o1PEI9KsWEO8,FJYmjg6e3_cZrJO6aUu0PPXfz51-ItpYHer9qIcdrBw,2390000000
1lpQMLnA5_Ffe9cT11GFCAbX_gnfM8GwQQ7tTTG4KzU,qNPdvpt_iC1f3uRfmh5GPpwMPRNujWdddb7M9gWlkDU,435000000
1nMY2xH71m55ZGmdXBEsGwUxQ6S_8KTez8iR20lQW1o,lYYl7-mGPli0bKFKdzEZdmkDswcvMSskG5bjRV5nq_Y,2172500000
1o7w_zSGxvQ03XDJK6ILvpqU2RZ8XMAKJ4akzZC-dX4,YlprxxUDtRCP2Ewfn5qEOQ0j1w_qLc9R6V6TnZ9HNSU,435000000
1oC15oZhVzEeQWmI4nv0o4S4rXmjsletBN0xwpIt4-0,JVTJPRU5jqrz3YT25pl1L_zJdviOsHsZn1Bhs5O7czc,478750000
1rDuesTv47y0RxaxpiFBHiMqguw1DcqTeUpqB9bgxiM,XX4ssz8MKbXvbVXhBRl84TWDDwkkme96lMkjpL7IpXs,435000000
1uADOG-c_JWsI8UFiKwaIrROJ0duhDBf7JG0QXmWbsE,JVTJPRU5jqrz3YT25pl1L_zJdviOsHsZn1Bhs5O7czc,2172500000
1uv0R8hxoOe3UqGziqfcDljpd668YHGZnN6rC_NWmkU,WD2M7uCkX_5wrgR1FntjAkU1iyZQ5ssIhAfeosPhmFw,435000000
1wJprdMCfbmsAce-1HOdaTXnmVzucys_QfGQJXhhUX8,SzKVrTQxkKnjR7vElct7Wn7FyVk1X8KBHRrdtiW7sLs,630000000
1wOiUbtuiUc-MijUb46V4ClX9tpQ3_ffpj6zyMZiKbM,KwA-r59R73NDZTKaJmjvk2B4dP2RrtOrmy9RjKH1w6M,652500000
2-8QhpBirLp-7oXb3xvinfCpYtDHLSc8udhvSxgKBgw,SCOKnowXkWX27XM84Tk7gEt7mF24Qfdh5J0J4KKPNLY,435000000
2-Nro-exqE99NRkP3WYTjlXWLxc57fgV1TGJkmsxx2w,hqjcMZ8bEyF7VQBAIOlHRaOMTv8SX9Z_SFRwylxG0SU,1303750000
20q9ghxBjFrYI4aIG-oJ4b3m9wDV7RWaMqfEn-aD2X0,ty5YtynhdixPERscueTiOl1KA4Y69HNrAaJ2H_2sBh8,435000000
2154sfKHpedbTkPmeN-Oz1U-24DV_diNpE2TOOGh-j4,wlcEhTQY_qjDKTvTDZsb53aX8wivbOJZKnhLswdueZw,738750000
21fZtLwIkpsS6uvjRgWS0Q56YElWwQRQC8c1yFSqf7A,TEHjbg0NBCTOx49dbFOyL7v-ljT3LykMtsG4lGEfERs,1956250000
23dGriqP5nzkOUZFykYd0NJjNiYmoQhPW3MqgZtPeMU,l5wmMZJv6cXuJxlvjf6RkErudcWQfosBc7b5Gx7gCsU,1521250000
29sOshE53Cxe9Kros7h4VaSZ3u5WYefvTbJOGthbor4,qhjZBMNa8EDTb8WaZwJ9vwVgiFbX9VmVmd7S7x80-BI,738750000
2AlezWbmFyENtB8ujM7ABlnN0ZURk_exEoZjR4v_Nqs,Y6MvWpH-KGBsdmib83eiorjFHUMhkUV9HspQhT7rsjw,2346250000
2CdYV2TdTafjOJUU6KhQ3U0GeICf72YL03R0oMGG_90,YlDY5URaAmLNcg5BfqQHKl6-_tIIuHfp5oPjpaqLX6w,4562500000
2HSw0NI79FrY9yyEQMfUOC9P_OjnO4CI9991PaVOlcg,w_dXSRqIUrIFn8QVRXuiQ25-5qKGDFNliIztzCa8PMY,435000000
2IRAYwCc1paSW3-SHD1tne98bFacEniprnQARhMDkV8,ntwC3lnxNkMlmJX44_2sMGATfF4kjiRt2HpsOavB70M,870000000
2J0dqD4MvOStHY6aEGEYJ7Z-CggOO9g1mCLeQk1GgeA,GY0MysWAv83ANosil942egXtxMxxlAPEiI1LFF5hxjA,435000000
2NbYHgsuI8uQcuErDsgoRUCyj9X2wZ6PBN6WTz9xyu0,N64vIXjphKRHrciqRafXleT_dJ_PwgYVa-_kdWy1Xpk,1303750000
2OJT3ya_2ZD3OEftCxyVwizmjhYnCSEWFsCLFRdIeQM,AKnCN9K5bDyAKDdxnVBVVI5tz8ziI4KTPd5N8uN1gio,2390000000
2Ov4XaaOR1JuHyZi5DiJ_nTOsQAENYMJDeBlkqa_XZA,JVTzls8_vGow74rbTILPmFqIYIgvTR67MhwXqHdBBk0,870000000
2RZuIlzsfMWFj0XyDn8wMlq_YBx_RmyPU2XteztXd_M,uzESID1JQp8m4RO7YjfVZ8eWtRsSrxLp1SilTj7psB8,2607500000
2RyfZsJNC2whVKSWhHTuN9xFOmy0M2wacQ_rWE_MpE8,lYYl7-mGPli0bKFKdzEZdmkDswcvMSskG5bjRV5nq_Y,2825000000
2STmGf_Y_kXUGKc9WYAy9UHlJPvrWMGETWJXMXlcl2Y,SqEQ2UZcI6s4yU8jQMnmxSBmu1XYBg_eHoivzxYljU0,435000000
2Su_PBw6IyZ0lmB-349dxnkQ1lbdC5D6U-XnHsNueYw,ntwC3lnxNkMlmJX44_2sMGATfF4kjiRt2HpsOavB70M,3476250000
2TSmudsrOeYnbH_nEzE6gV8skbPVmBSxPtpZNTm0ycU,IfRB126OA-VgcriyUZggYY1_X4xVQfSFcit_jH-7GP0,1956250000
2UBi5l_fih0JO_iDheYY87oxddXF5lxobmP7yuZ5zkA,3RD-ifJlte3mXlRU9ZpoUGM6EAii1EQlavBrJ79jEeU,870000000
2UG72UO47OkQIRD62D4P2he4vQqkAKyUzubBm57tVbU,UGm_n-H39zJDxTNnwSfTMCsufjI0nhDAHFEX_JRng74,1303750000
2UrPw_CgdN6OlW_XmC1zLZ09Jz3Soc7UN2wuEj59zZU,PQ8xSukxl8hFgP8wwGQBvCAJpevAmjfNVsH8TORJeEM,891250000
2VeI8bTjgb4IcxCIdbVSRvjS8Yg5RT8d3_UcQQaI97U,oMPYwABoGMcrvLAy1r41ilZD5totu7TGm6JuCkW7bL8,3128750000
2ZUNrx_WtBG4VE1Ok2HoAfE3CcVy7IXWpu7AeX2bohg,qhjZBMNa8EDTb8WaZwJ9vwVgiFbX9VmVmd7S7x80-BI,1695000000
2blXUINqq4sD_0QeXQ2ePU1Q-uOZ9gAMNP_ShbWhra0,KsHdxewU2qgzXbjT7dqRbpnKEuRuuP5NcbSSw7n9zB4,435000000
